dropout	pre_processing_type	conv_layer_1	conv_layer_shape	size	scalar	re_train_on_known_errors	epochs	time	multi_class_zr_acc	multi_class_model_acc	boolean_zr_acc	boolean_model_acc	run number
0.01	None	16	(3, 3)	16	(-1, 1)	0.8	2	35.957977533340454	0.6242857142857143	0.05857142857142857	0.6242857142857143	0.38285714285714284	13
0.01	None	16	(3, 3)	16	(-1, 1)	0.8	4	64.9787244796753	0.6242857142857143	0.10857142857142857	0.6242857142857143	0.38285714285714284	14
0.01	None	16	(3, 3)	16	(-1, 1)	0.8	8	113.7838294506073	0.6242857142857143	0.3157142857142857	0.6242857142857143	0.5214285714285715	15
0.01	None	16	(3, 3)	16	(-1, 1)	1	1	23.30705761909485	0.6242857142857143	0.15571428571428572	0.6242857142857143	0.37285714285714283	16
0.01	None	16	(3, 3)	16	(-1, 1)	1	2	49.055867433547974	0.6242857142857143	0.06285714285714286	0.6242857142857143	0.36857142857142855	17
0.01	None	16	(3, 3)	16	(-1, 1)	1	4	78.3732922077179	0.6242857142857143	0.10857142857142857	0.6242857142857143	0.36714285714285716	18
0.01	None	16	(3, 3)	16	(-1, 1)	1	8	150.94328355789185	0.6242857142857143	0.18428571428571427	0.6242857142857143	0.4057142857142857	19
0.01	None	16	(3, 3)	16	(0, 1)	0	1	9.245866775512695	0.6242857142857143	0.10714285714285714	0.6242857142857143	0.41285714285714287	20
0.01	None	16	(3, 3)	16	(0, 1)	0	2	12.283613443374634	0.6242857142857143	0.08571428571428572	0.6242857142857143	0.36	21
0.01	None	16	(3, 3)	16	(0, 1)	0	4	19.799680471420288	0.6242857142857143	0.30142857142857143	0.6242857142857143	0.5471428571428572	22
0.01	None	16	(3, 3)	16	(0, 1)	0	8	37.3124361038208	0.6242857142857143	0.3271428571428571	0.6242857142857143	0.5471428571428572	23
0.01	None	16	(3, 3)	16	(0, 1)	0.3	1	9.763759136199951	0.6242857142857143	0.23714285714285716	0.6242857142857143	0.4471428571428571	24
0.01	None	16	(3, 3)	16	(0, 1)	0.3	2	15.295363426208496	0.6242857142857143	0.05714285714285714	0.6242857142857143	0.3914285714285714	25
0.01	None	16	(3, 3)	16	(0, 1)	0.3	4	22.372671604156494	0.6242857142857143	0.14857142857142858	0.6242857142857143	0.41285714285714287	26
0.01	None	16	(3, 3)	16	(0, 1)	0.3	8	40.767292499542236	0.6242857142857143	0.21857142857142858	0.6242857142857143	0.43	27
0.01	None	16	(3, 3)	16	(0, 1)	0.6	1	16.67119789123535	0.6242857142857143	0.23	0.6242857142857143	0.48714285714285716	28
0.01	None	16	(3, 3)	16	(0, 1)	0.6	2	31.32539439201355	0.6242857142857143	0.09428571428571429	0.6242857142857143	0.40285714285714286	29
0.01	None	16	(3, 3)	16	(0, 1)	0.6	4	49.02435660362244	0.6242857142857143	0.1357142857142857	0.6242857142857143	0.43857142857142856	30
0.01	None	16	(3, 3)	16	(0, 1)	0.6	8	94.97532391548157	0.6242857142857143	0.4257142857142857	0.6242857142857143	0.58	31
