dropout	pre_processing_type	conv_layer_1	conv_layer_shape	size	scalar	re_train_on_known_errors	time	multi_class_zr_acc	multi_class_model_acc	boolean_zr_acc	boolean_model_acc	run number
0.01	resized	16	(3, 3)	16	None	25	68.49561786651611	0.6657142857142857	0.6728571428571428	0.6657142857142857	0.6728571428571428	41
0.01	resized	16	(3, 3)	16	None	50	69.30022549629211	0.6885714285714286	0.6885714285714286	0.6885714285714286	0.69	42
0.01	resized	16	(3, 3)	16	None	75	70.84957599639893	0.6428571428571429	0.6428571428571429	0.6428571428571429	0.6428571428571429	43
0.01	resized	16	(3, 3)	16	None	100	72.87095856666565	0.6728571428571428	0.6657142857142857	0.6728571428571428	0.7385714285714285	44
0.01	tozero	16	(3, 3)	16	(-1, 1)	0	69.51960301399231	0.6328571428571429	0.6342857142857142	0.6328571428571429	0.6371428571428571	45
0.01	tozero	16	(3, 3)	16	(-1, 1)	25	69.5462212562561	0.6171428571428571	0.6157142857142858	0.6171428571428571	0.6157142857142858	46
0.01	tozero	16	(3, 3)	16	(-1, 1)	50	73.41230463981628	0.6428571428571429	0.66	0.6428571428571429	0.7085714285714285	47
0.01	tozero	16	(3, 3)	16	(-1, 1)	75	70.30765390396118	0.6628571428571428	0.6628571428571428	0.6628571428571428	0.6628571428571428	48
0.01	tozero	16	(3, 3)	16	(-1, 1)	100	73.69058132171631	0.6342857142857142	0.6342857142857142	0.6342857142857142	0.6642857142857143	49
0.01	tozero	16	(3, 3)	16	(0, 1)	0	69.46569395065308	0.6628571428571428	0.6628571428571428	0.6628571428571428	0.6628571428571428	50
0.01	tozero	16	(3, 3)	16	(0, 1)	25	70.36765146255493	0.6585714285714286	0.5942857142857143	0.6585714285714286	0.7142857142857143	51
0.01	tozero	16	(3, 3)	16	(0, 1)	50	73.84440159797668	0.6657142857142857	0.6557142857142857	0.6657142857142857	0.7414285714285714	52
0.01	tozero	16	(3, 3)	16	(0, 1)	75	70.19881224632263	0.6542857142857142	0.6542857142857142	0.6542857142857142	0.6542857142857142	53
0.01	tozero	16	(3, 3)	16	(0, 1)	100	73.96033310890198	0.6671428571428571	0.65	0.6671428571428571	0.7671428571428571	54
0.01	tozero	16	(3, 3)	16	None	0	68.46444916725159	0.6385714285714286	0.6385714285714286	0.6385714285714286	0.6385714285714286	55
0.01	tozero	16	(3, 3)	16	None	25	68.46450209617615	0.6657142857142857	0.6671428571428571	0.6657142857142857	0.6685714285714286	56
0.01	tozero	16	(3, 3)	16	None	50	70.9466781616211	0.6671428571428571	0.67	0.6671428571428571	0.6714285714285714	57
0.01	tozero	16	(3, 3)	16	None	75	72.71734046936035	0.6642857142857143	0.6442857142857142	0.6642857142857143	0.7214285714285714	58
0.01	tozero	16	(3, 3)	16	None	100	72.75235509872437	0.6471428571428571	0.6328571428571429	0.6471428571428571	0.7242857142857143	59
0.01	morphed	16	(3, 3)	16	(-1, 1)	0	69.51618909835815	0.6828571428571428	0.6828571428571428	0.6828571428571428	0.6828571428571428	60
0.01	morphed	16	(3, 3)	16	(-1, 1)	25	70.2424738407135	0.6528571428571428	0.6557142857142857	0.6528571428571428	0.6685714285714286	61
0.01	morphed	16	(3, 3)	16	(-1, 1)	50	70.2403256893158	0.6628571428571428	0.6542857142857142	0.6628571428571428	0.6842857142857143	62
0.01	morphed	16	(3, 3)	16	(-1, 1)	75	71.69429612159729	0.6714285714285714	0.6728571428571428	0.6714285714285714	0.6728571428571428	63
0.01	morphed	16	(3, 3)	16	(-1, 1)	100	73.66296291351318	0.6414285714285715	0.64	0.6414285714285715	0.6742857142857143	64
